ID	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
KIAA0415	7.41998	7.58426	6.62672	5.84064	5.65249	6.22456	6.81443	7.31781	6.67255	6.14572	6.43349	5.94637
KIAA0427	7.14598	7.94839	7.05876	6.31716	6.04501	6.71659	6.99278	7.07293	6.74571	7.01601	7.99342	8.43983
KIAA0430	7.38399	7.80629	7.32909	7.04665	6.67708	7.23921	7.89859	6.97702	7.3176	7.67671	7.75197	8.16472
KIAA0467	7.14386	7.5166	6.78853	6.33642	5.92996	6.28503	7.38394	6.86982	6.81872	6.77907	6.88654	7.11039
KIAA0494	7.72665	8.59734	7.33178	7.90923	7.68808	7.53064	8.36791	7.52484	8.03669	8.22	8.23883	8.61559
KIAA0495	6.21661	6.9594	6.15698	5.1985	4.71498	5.1299	6.75359	5.13363	6.46697	6.54249	6.44072	6.3523
KIAA0513	6.23637	6.4552	5.75574	4.63997	3.85128	4.50705	5.87007	5.85027	5.49491	6.26122	6.20424	5.79111
KIAA0528	6.43294	6.79682	6.57786	5.95324	5.69036	5.99894	7.33319	6.39436	6.66361	6.82235	6.65921	6.79807
KIAA0556	8.00236	6.60665	5.6204	4.74407	4.7942	5.02388	7.01222	7.00208	6.80337	6.58152	6.205	5.93969
KIAA0562	6.41673	7.69439	7.06219	6.62936	6.44889	6.59987	7.20632	6.11076	6.44158	6.43031	6.47435	6.93288
KIAA0564	6.09357	7.88533	7.5979	7.43544	7.05186	6.99393	6.84645	6.49103	6.34689	6.59333	6.56947	7.20996
KIAA0586	5.98394	5.95064	5.73979	5.35659	5.49717	5.0876	6.51901	5.30059	5.65477	5.76549	5.51538	5.86599
KIAA0649	5.87493	6.88449	5.1299	6.00881	5.1985	5.9162	7.22004	7.58265	6.86395	6.57578	6.35298	6.11844
KIAA0652	8.04077	8.27512	7.712	7.30653	7.05445	7.50274	7.66013	7.38358	7.44892	7.58509	7.78019	7.92452
KIAA0664P3	4.54399	5.27811	4.02581	3.34738	0.67828	3.82172	4.40777	4.34572	3.93666	3.69192	3.03871	2.50531
KIAA0664	8.51178	9.48296	9.64937	9.06901	8.74098	9.07567	7.729	7.43572	7.43069	7.39996	7.76402	7.47893
KIAA0748	4.3741	2.87998	1.39632	1.33433	1.60609	2.02862	1.62067	4.10895	3.50843	3.11814	3.53682	3.26988
KIAA0753	5.19296	5.65249	5.04343	4.8626	4.6634	4.85295	6.3475	5.55832	5.56702	6.08688	5.65106	5.41851
KIAA0754	2.68555	5.84644	4.76273	3.81483	3.01699	3.11068	4.17142	4.01969	4.24515	4.19542	4.87823	6.66971
KIAA0776	7.24065	7.7463	7.6834	7.17396	6.89061	7.12125	6.12465	5.80761	6.72506	6.69218	6.44431	6.96704
KIAA0802	5.26786	5.53339	4.77412	3.99873	4.48296	5.09375	7.28331	4.49775	5.69034	4.96606	4.24004	3.81745
KIAA0831	6.6896	6.66823	5.98141	5.69709	5.44674	5.50939	6.09712	5.71042	6.14071	6.36475	6.2481	6.50201
KIAA0892	7.21082	7.47079	7.42952	6.3699	5.94017	6.37161	7.76299	7.28415	7.27008	7.0352	7.01734	6.91332
KIAA0895L	5.5883	5.88602	5.72525	4.35301	2.82005	4.91593	6.78727	6.5704	6.05822	5.91097	5.31967	4.54256
KIAA0895	5.14749	5.59099	2.66247	4.71216	5.80513	5.66643	6.35112	5.56181	5.33889	5.22276	4.74749	3.47179
KIAA0907	7.54327	7.42774	7.20117	5.1299	5.5835	5.69709	7.68673	7.43196	7.16958	6.70587	6.25174	5.84116
KIAA0913	8.08825	7.42178	7.78863	7.53262	6.9976	7.29234	7.51345	7.71923	7.74967	7.39295	7.25023	7.13576
KIAA0922	7.14283	7.38399	7.48661	7.31588	6.96697	7.10906	6.37313	6.25129	6.27085	6.30509	6.5742	7.22971
KIAA0947	6.38182	7.61283	6.69332	6.34914	6.24222	6.34739	7.20939	6.69891	6.81478	7.01487	6.70216	7.16571
KIAA1009	5.1358	5.5835	4.10895	3.77876	3.16426	4.04032	4.54441	4.25483	5.36632	5.45131	5.03747	5.40028
KIAA1012	6.94409	7.80098	7.2349	7.43603	7.09672	7.24351	7.3581	6.69779	6.70347	6.74772	6.7322	7.28043
KIAA1024	2.19293	1.58207	3.52301	0.149823	0	0.993783	3.16174	3.68315	3.99903	2.8471	3.03189	2.33277
KIAA1033	7.662	7.90765	7.21744	7.32515	7.03439	7.28139	6.42192	6.7937	6.84915	6.67149	6.68351	6.99543
KIAA1045	1.84518	3.01521	2.02862	1.34078	0.92267	1.33433	1.88488	1.43354	2.15422	2.54127	3.96803	2.93022
KIAA1107	4.33009	5.14166	3.4691	3.69303	3.22925	4.21047	5.74041	4.64498	4.58417	4.49737	4.67428	5.64392
KIAA1109	6.6995	7.61678	6.83411	6.97073	6.24804	7.04316	7.39413	6.78553	7.17308	7.63755	7.28616	8.28188
KIAA1143	6.41346	7.15462	6.76157	6.04737	5.9428	5.94803	6.57584	6.48413	6.19532	6.55793	6.42561	6.81608
KIAA1147	7.2998	8.35937	7.08841	6.3613	6.29527	6.38519	7.63146	6.80179	6.32416	6.98857	6.92598	6.97707
